at;file:Zaborowski_MBC.djvu?djvuopts=&highlight=675,897,67,54&page=1;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ atque
vt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=165,822,101,85&page=1;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ vtque
sarmatica;file:Zaborowski_MBC.djvu?djvuopts=&highlight=598,648,242,81&page=1;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ sarmaticaque
̈̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1014,619,108,78&page=2;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ quamquam
nũ̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1052,551,107,70&page=6;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ nunquam
̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1051,1600,62,70&page=8;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ quam
ta̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1175,971,94,81&page=8;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ tamquam
nũ̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=356,783,103,80&page=13;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ nunquam
tã̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1133,1256,99,83&page=14;wątpliwa ligatura;※ tanquam
abſ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=925,1428,100,60&page=18;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ absque
vtrū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=496,1223,119,50&page=18;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ vtrumque
quo;file:Zaborowski_MBC.djvu?djvuopts=&highlight=566,499,113,47&page=21;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ quoque
canonicaſ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=330,449,221,62&page=21;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ canonicasque
ꝺeni;file:Zaborowski_MBC.djvu?djvuopts=&highlight=645,408,118,59&page=21;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ denique
dulciſ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=954,1519,156,63&page=22;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ dulcisque
quo;file:Zaborowski_MBC.djvu?djvuopts=&highlight=705,1438,119,72&page=22;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ quoque
ꝺuoſ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=414,1390,137,56&page=22;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ duosque
at;file:Zaborowski_MBC.djvu?djvuopts=&highlight=884,1311,90,58&page=22;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ atque
caſtaſ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=438,1161,146,68&page=22;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ castasque
eēnt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=755,1135,120,68&page=22;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ essentque
̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=802,972,53,65&page=22;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0]; ※ quam
quic̄;file:Zaborowski_MBC.djvu?djvuopts=&highlight=899,878,138,59&page=22;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ quicquam
ꝺeni;file:Zaborowski_MBC.djvu?djvuopts=&highlight=449,611,127,63&page=22;M+E8BF LATIN SMALL LETTER Q LIGATED WITH FINAL ET [MUFI 4.0];※ denique
