ſcꝺ̇ꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1105,1247,80,58&page=2;U+A77A LATIN SMALL LETTER INSULAR D;※ secundum
ꝺuplicẽ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=635,760,153,45&page=2;U+A77A LATIN SMALL LETTER INSULAR D;※ duplicem
ꝺꝛ̃am;file:Zaborowski_MBC.djvu?djvuopts=&highlight=544,499,115,57&page=2;U+A77A LATIN SMALL LETTER INSULAR D;※ differentiam
ꝺictioibꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=304,1674,172,55&page=3;U+A77A LATIN SMALL LETTER INSULAR D;※ dictionibus
ꝺiſcrepãt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=656,1674,175,55&page=3;U+A77A LATIN SMALL LETTER INSULAR D;※ discrepant
iꝺo;file:Zaborowski_MBC.djvu?djvuopts=&highlight=877,1671,90,62&page=3;dziwny znak;※ ideo
ꝺenotet᷑;file:Zaborowski_MBC.djvu?djvuopts=&highlight=700,1363,152,52&page=3;U+A77A LATIN SMALL LETTER INSULAR D;※ denotetur
qꝺ̇;file:Zaborowski_MBC.djvu?djvuopts=&highlight=736,1298,82,65&page=3;U+A77A LATIN SMALL LETTER INSULAR D;※ quod
ꝺictiõibus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=613,1241,213,53&page=3;U+A77A LATIN SMALL LETTER INSULAR D;※ dictionibus
ꝺictiõis;file:Zaborowski_MBC.djvu?djvuopts=&highlight=719,1113,146,60&page=3;U+A77A LATIN SMALL LETTER INSULAR D;※ dictionis
ꝺictionũ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=195,680,173,57&page=3;U+A77A LATIN SMALL LETTER INSULAR D;※ dictionum
ꝺꝛ̄ias;file:Zaborowski_MBC.djvu?djvuopts=&highlight=106,499,115,55&page=3;U+A77A LATIN SMALL LETTER INSULAR D;※ differentias
ꝺictionū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=600,366,167,65&page=3;U+A77A LATIN SMALL LETTER INSULAR D;※ dictionum
ꝺꝛ̄ia;file:Zaborowski_MBC.djvu?djvuopts=&highlight=762,371,111,59&page=3;U+A77A LATIN SMALL LETTER INSULAR D;※ differentiam
ꝺurũ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1222,1515,73,59&highlight=457,1458,48,70&page=4;U+A77A LATIN SMALL LETTER INSULAR D;※ durum
qꝺ̇;file:Zaborowski_MBC.djvu?djvuopts=&highlight=557,1272,70,61&page=4;U+A77A LATIN SMALL LETTER INSULAR D;※ quod
ꝺoctrinã;file:Zaborowski_MBC.djvu?djvuopts=&highlight=675,1025,179,61&page=4;U+A77A LATIN SMALL LETTER INSULAR D;※ doctrinam
qꝺ̇;file:Zaborowski_MBC.djvu?djvuopts=&highlight=965,897,58,63&highlight=448,843,75,61&page=4;U+A77A LATIN SMALL LETTER INSULAR D;※ quod
ꝺictiõibus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=514,843,207,55&page=4;U+A77A LATIN SMALL LETTER INSULAR D;※ dictionibus
ꝺiﬅãteſ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=971,523,137,76&page=4;U+A77A LATIN SMALL LETTER INSULAR D;※ distantes
ꝺn̄s;file:Zaborowski_MBC.djvu?djvuopts=&highlight=941,1671,86,66&page=6;U+A77A LATIN SMALL LETTER INSULAR D;※ dominus
ꝺctiões;file:Zaborowski_MBC.djvu?djvuopts=&highlight=626,1356,173,65&page=6;U+A77A LATIN SMALL LETTER INSULAR D;※ dictiones
ꝺ̇ꝛ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=555,1233,63,61&page=6;U+A77A LATIN SMALL LETTER INSULAR D;※ dicitur
ꝺ̇ꝛ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=943,1171,48,67&page=6;U+A77A LATIN SMALL LETTER INSULAR D;※ dicitur
qꝺ̇;file:Zaborowski_MBC.djvu?djvuopts=&highlight=859,1112,62,62&page=6;U+A77A LATIN SMALL LETTER INSULAR D;※ quod
ꝺictiõibus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1067,746,218,59&page=6;U+A77A LATIN SMALL LETTER INSULAR D;※ dictionibus
qꝺ̇;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1153,497,68,67&page=6;U+A77A LATIN SMALL LETTER INSULAR D;※ quod
ꝺ̇ꝛ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=603,432,60,57&page=6;U+A77A LATIN SMALL LETTER INSULAR D;※ dicitur
ꝺucillꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=643,1483,132,59&page=7;U+A77A LATIN SMALL LETTER INSULAR D;※ ducillus
ꝺurũ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=455,1297,103,59&page=7;U+A77A LATIN SMALL LETTER INSULAR D;※ durum
qꝺ̇;file:Zaborowski_MBC.djvu?djvuopts=&highlight=421,1169,63,65&page=7;U+A77A LATIN SMALL LETTER INSULAR D;※ quod
ꝺ̇ꝛ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=453,865,60,64&page=7;U+A77A LATIN SMALL LETTER INSULAR D;※ dicitur
ꝺictiōibus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=660,1547,217,65&page=8;U+A77A LATIN SMALL LETTER INSULAR D;※ dictionibus
ꝺictiōibus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1023,1480,205,61&page=8;U+A77A LATIN SMALL LETTER INSULAR D;※ dictionibus
ꝺurū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=679,1424,107,54&page=8;U+A77A LATIN SMALL LETTER INSULAR D;※ durum
fcꝺ̇ꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=707,1111,95,59&page=8;-m;※ secundum
ꝺictiōibus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1074,551,198,57&page=8;U+A77A LATIN SMALL LETTER INSULAR D;※ dictionibus
ꝺ̇um;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1292,498,44,53&highlight=483,422,82,56&page=8;U+A77A LATIN SMALL LETTER INSULAR D;※ deum
ꝺictiōibus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=403,1632,203,53&page=9;U+A77A LATIN SMALL LETTER INSULAR D;※ dictionibus
ꝺiſcretiõi;file:Zaborowski_MBC.djvu?djvuopts=&highlight=626,1321,173,54&page=9;U+A77A LATIN SMALL LETTER INSULAR D;※ discretioni
ꝺictionũ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=579,1070,171,62&page=9;U+A77A LATIN SMALL LETTER INSULAR D;※ dictionum
